Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;
Afghanistan;;;;;;;;;;;
Albania;;;;148;;;;;;;
Algeria;165;;;;;;;;;;
American Samoa;101;;;;;;;;;;
Andorra;;;;;;;;;;;
Angola;;;;;;;57;;;;
Antigua and Barbuda;;;;;;;;;;;
Argentina;825;899;983;1047;1092;1178;1236;;;;
Armenia;;;;;;;;;;;
Aruba;;;;;;;;;;;
Australia;;4179;;4280;;;;;;;
Austria;3456;3528;3811;4137;4141;4312;4401;4565;;;
Azerbaijan;;;;;;;;;;;
Bahamas The;;;;;;;;;;;
Bahrain;;;;;;;;;;;
Bangladesh;;;;;;;;;;;
Barbados;;;;;;;;;;;
Belarus;;;;;;;;;;;
Belgium;3154;3294;3401;3414;3519;3732;3878;3983;;;
Belize;;;;;;;;;;;
Benin;;;;;;;;;;;
Bermuda;;;;;;;;;;;
Bhutan;;;;;;;;;;;
Bolivia;;;;;142;162;;;;;
Bosnia and Herzegovina;65;173;193;;;;;;;;
Botswana;;;;;;;;;;;
Brazil;588;597;612;629;667;710;;;;;
Brunei Darussalam;;;;;;;;;;;
Bulgaria;1308;1356;1481;1517;1607;1486;1623;1552;;;
Burkina Faso;;;;;;48;;;;;
Burundi;;;;;;;;;;;
Cabo Verde;;;;;;;51;;;;
Cambodia;;;;;;;;;;;
Cameroon;;;;;;;;;;;
Canada;4238;4313;4588;4711;4451;4579;4563;;;;
Cayman Islands;;;;;;;;;;;
Central African Republic;;;;;;;;;;;
Chad;;;;;;;;;;;
Channel Islands;;;;;;;;;;;
Chile;;;333;354;286;317;;;;;
China;849;923;1067;1186;853;890;963;1020;;;
Colombia;166;176;184;181;164;154;184;;;;
Comoros;;;;;;;;;;;
Congo Dem Rep;;;;;;;;;;;
Congo Rep;;;;;;;;;;;
Costa Rica;122;;;257;973;1200;1289;;;;
Cote d'Ivoire;73;;;;;;;;;;
Croatia;1305;1320;1403;1536;1593;1638;1584;1553;;;
Cuba;;;;;;;;;;;
Curacao;;;;;;;;;;;
Cyprus;660;714;752;748;801;820;820;793;;;
Czech Republic;2362;2556;2697;2861;2743;2769;2891;3111;;;
Denmark;5201;5302;5519;6496;6659;6744;6806;6730;;;
Djibouti;;;;;;;;;;;
Dominica;;;;;;;;;;;
Dominican Republic;;;;;;;;;;;
Ecuador;;70;65;103;;;;;;;
Egypt Arab Rep;;;665;463;458;456;524;;;;
El Salvador;;;;;;;;;;;
Equatorial Guinea;;;;;;;;;;;
Eritrea;;;;;;;;;;;
Estonia;2514;2664;2810;3042;3311;3140;3485;3541;;;
Ethiopia;21;;20;;;42;;;;;
Faeroe Islands;;;;;;;;;;;
Fiji;;;;;;;;;;;
Finland;7545;7671;7369;7686;7644;7717;7423;7482;;;
France;3296;3405;3566;3640;3727;3851;3918;;;;
French Polynesia;;;;;;;;;;;
Gabon;;;;;;;;;;;
Gambia The;;;;98;110;;34;;;;
Georgia;;;;;;;;;;;
Germany;3246;3342;3480;3628;3814;3950;4085;4139;;;
Ghana;;;17;;;39;;;;;
Greece;1774;1801;1899;;;;2219;2168;;;
Greenland;;;;;;;;;;;
Grenada;;;;;;;;;;;
Guam;303;;;;;;;;;;
Guatemala;31;25;35;40;40;25;25;;;;
Guinea;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;
Guyana;;;;;;;;;;;
Haiti;;;;;;;;;;;
Honduras;;;;;;;;;;;
Hong Kong SAR China;2613;2652;2820;2648;2752;2925;;;;;
Hungary;1573;1741;1729;1842;2000;2131;2303;2389;;;
Iceland;7262;7981;7241;7459;7983;;7012;;;;
India;137;;;;;160;;;;;
Indonesia;;;;;90;;;;;;
Iran Islamic Rep;;712;;747;;;;;;;
Iraq;;;367;378;399;415;426;;;;
Ireland;2787;2880;2959;3333;3217;3173;3355;3513;;;
Isle of Man;;;;;;;;;;;
Israel;;;;;;;6602;;;;
Italy;1406;1497;1563;1599;1691;1709;1748;1820;;;
Jamaica;;;;;;;;;;;
Japan;5360;5387;5378;5158;5147;5151;5158;;;;
Jordan;;;;;;;;;;;
Kazakhstan;;;;;;;652;;;;
Kenya;;;56;;;227;;;;;
Kiribati;;;;;;;;;;;
Korea Dem Rep;;;;;;;;;;;
Korea Rep;3823;4229;4665;4933;5068;5451;5928;;;;
Kosovo;;;;;;;;;;;
Kuwait;167;162;185;149;141;136;132;;;;
Kyrgyz Republic;;;;;;;;;;;
Lao PDR;;;;;;;;;;;
Latvia;1473;1791;1918;2044;1714;1864;1904;1895;;;
